,n_episodes,Mean Reward BC,Mean Reward GAIL,Rescaled Mean Reward BC,Rescaled Mean Reward GAIL
0,1,-79.6,-500.0,0.9931959931959932,0.0
1,1,-81.28,-500.0,0.9892269892269894,0.0
2,1,-83.76,-498.7,0.9833679833679835,0.0030712530712530984
3,4,-72.86,-500.0,1.0091192591192593,0.0
4,4,-80.0,-500.0,0.9922509922509923,0.0
5,4,-77.9,-500.0,0.9972122472122473,0.0
6,7,-84.2,-500.0,0.9823284823284825,0.0
7,7,-77.32,-500.0,0.9985824985824987,0.0
8,7,-75.9,-500.0,1.001937251937252,0.0
9,10,-80.22,-500.0,0.9917312417312417,0.0
10,10,-80.58,-500.0,0.990880740880741,0.0
11,10,-82.18,-500.0,0.9871007371007372,0.0
