,n_episodes,Mean Reward BC,Mean Reward GAIL,Rescaled Mean Reward BC,Rescaled Mean Reward GAIL
0,1,-142.34,-200.0,0.5698585730804581,0.0
1,1,-200.0,-200.0,0.0,0.0
2,1,-200.0,-200.0,0.0,0.0
3,4,-200.0,-200.0,0.0,0.0
4,4,-200.0,-200.0,0.0,0.0
5,4,-200.0,-200.0,0.0,0.0
6,7,-127.8,-200.0,0.7135586017413992,0.0
7,7,-200.0,-200.0,0.0,0.0
8,7,-131.9,-200.0,0.6730379609222892,0.0
9,10,-132.22,-200.0,0.6698753743217734,0.0
10,10,-122.3,-200.0,0.7679155589377662,0.0
11,10,-118.62,-199.32,0.804285304843699,0.006720496526096348
